ID	landslide	x	y	elevation	slope	relprecip	profcurv	plancurv	aspect_sin	aspect_cos	canopy	treetype	treeheight	treenumber	groundwater	precip	max_precip_3h	deposit_thickness	bedrock2	landforms2	deposit2	LogFlow
347	1	219490.5506	6844305.914	372.0000305	38.46759	141.61024	1.2547114	0.734774888	0.94020474	-0.34060985	100	1	192	1396	1.28	104.1609	10.5699415	3	4	0	1	3.29583686600433
348	1	221256.5488	6849382.583	771.3090161	53.494995	134.19577	4.602622	-0.335707963	-0.50647336	-0.8622556	96	2	114	631	1.3846154	107.2524	11.057178	1	2	0	5	2.94443897916644
349	1	221186.0081	6849349.224	725.2143677	38.02017	134.19577	-0.7261203	-1.470954299	0.36071572	-0.93267584	93	3	143	967	1.3846154	107.2524	11.057178	1	2	1	5	6.60394382460047
350	1	215479.7657	6848354.837	333.4126709	25.52223	165.78204	-2.6401393	-0.980988979	0.2000879	-0.97977793	100	2	175	1373	1.4666667	122.025604	9.786202	2	1	0	5	5.29831736654804
351	1	208213.9022	6851280	395.0987207	33.476475	190.65181	-2.5517535	-3.859024048	0.98856574	-0.15079057	85	3	80	1903	1.8181819	161.1724	11.810533	3	4	0	1	4.93447393313069
353	1	203565.2089	6855338.678	476.4123511	39.00261	196.194	1.6335663	-5.06966114	0.87545466	0.48330027	93	2	181	908	1.7333333	156.0457	11.882884	3	2	0	1	6.30261897574491
354	1	203593.3977	6855303.898	471.4633276	39.240856	196.194	-1.8888321	-8.299506187	0.8804141	0.47420564	85	2	168	1139	1.7333333	156.0457	11.882884	3	2	0	1	6.08677472691231
355	1	196898.6789	6860078.463	595.2918066	28.819302	200.57262	0.58252716	0.765886486	0.41454124	-0.91003054	96	3	114	2241	1.6206896	134.0799	10.408697	3	4	1	1	8.06495089174914
356	1	197073.4119	6860160.146	580.51604	54.665447	198.88976	11.471833	-10.64002228	0.47975814	-0.87740076	54	3	109	840	1.6666666	130.4198	10.315117	3	4	1	1	7.59387784460512
358	1	195467.7437	6859647.744	663.7520679	30.760307	201.18211	0.745087	-7.503321171	0.21950303	-0.9756118	54	3	115	422	1.7	139.624	10.462757	2	2	0	1	5.17048399503815
359	1	195143.8789	6859529.396	646.9474683	28.506718	201.18211	-0.39742085	1.246631861	0.041288473	-0.9991473	100	2	133	1751	1.7	139.624	10.462757	3	2	0	1	5.08759633523238
360	1	194099.745	6859385.073	658.5433008	37.72962	201.97774	-0.45399404	-2.392118931	0.90811276	-0.41872564	59	3	124	578	1.6538461	141.2881	11.094732	3	2	0	1	9.4869867748077
361	1	193792.193	6858805.095	612.8648901	46.941486	201.06546	-7.494026	2.292965889	-0.3137626	-0.94950145	98	2	150	1568	1.6842105	141.3771	11.141867	3	2	0	1	3.55534806148941
362	1	193642.0286	6858793.277	629.8230054	42.84287	201.06546	6.795949	-0.067332231	0.62749034	-0.77862436	92	1	186	1125	1.6842105	141.3771	11.141867	3	2	0	1	3.63758615972639
364	1	212755.6803	6860566.193	471.8254431	31.244833	168.25517	2.9511535	-5.43959856	-0.99857485	-0.053369414	98	3	161	1655	1.9166666	115.4507	13.883673	2	2	1	3	5.18738580584075
365	1	211740.5083	6861942.465	430.6383716	25.41944	167.8976	0.7943305	-1.629805326	0.92902863	-0.37000775	96	3	160	1228	1.6666666	111.4319	13.803059	3	2	0	4	7.68616230349291
366	1	211627.785	6861842.756	461.1487439	36.753723	167.8976	-0.42424735	-5.587333202	0.93865454	-0.3448589	90	3	53	2516	1.6666666	111.4319	13.803059	2	2	0	3	6.65801104587075
368	1	211596.2094	6861489.945	431.9319434	29.310667	167.8976	-1.2330613	0.091611564	0.30637172	-0.951912	64	3	123	418	1.6666666	111.4319	13.803059	2	2	1	3	6.02102334934953
369	1	211504.975	6861432.386	469.3367395	31.582752	167.8976	0.7458639	0.592011333	0.9675621	-0.25263336	90	3	192	843	1.6666666	111.4319	13.803059	2	2	1	3	5.66642668811243
370	1	211400.6769	6861378.353	542.7158936	41.873837	167.8976	-3.8053272	6.163510799	0.9991739	-0.0406391	95	3	185	801	1.6666666	111.4319	14.834531	1	2	0	5	3.49650756146648
371	1	211524.9865	6861344.483	446.6674207	33.321144	167.8976	-2.0996628	-1.789535761	0.9934311	-0.11443185	56	3	138	873	1.6666666	111.4319	14.834531	2	2	1	3	5.34710753071747
372	1	211510.9117	6861324.884	453.5912866	32.47817	167.8976	1.5622706	0.189257935	0.9999997	-0.000760957	87	3	150	1200	1.6666666	111.4319	14.834531	2	2	1	3	3.95124371858143
373	1	210957.3171	6861282.1	399.7953455	38.2615	170.5746	0.9041004	-0.50522089	-0.48287314	-0.8756903	100	3	164	1424	1.8	112.5631	15.641297	1	2	0	5	4.18965474202643
374	1	210678.0427	6861657.445	564.8224683	25.290731	170.5746	0.90489256	2.620751858	-0.2620825	-0.96504545	84	3	160	1348	1.8	112.5631	14.658673	3	2	1	1	7.13489085156588
375	1	210627.0941	6861582.176	517.4506348	24.72042	170.5746	2.8132799	2.248260498	-0.1981764	-0.9801664	71	3	169	265	1.8	112.5631	14.658673	3	2	1	1	7.40245152081824
376	1	210423.7989	6861509.024	401.4472388	35.34618	170.5746	0.7071423	-8.544122696	-0.40845993	-0.91277623	92	3	175	1715	1.8	112.5631	14.658673	2	2	0	3	7.30451594646016
378	1	210455.1984	6861720.835	536.4907788	33.122288	170.5746	0.6014883	-7.186500072	-0.5823899	-0.8129096	96	3	178	1426	1.8	112.5631	14.658673	2	2	1	1	7.52023455647463
379	1	210457.1948	6861792.225	570.3392773	26.244207	170.5746	-4.0382466	1.124966383	-0.40194815	-0.9156624	100	3	109	2646	1.8	112.5631	14.658673	2	2	1	1	4.77912349311153
380	1	210376.8637	6861679.503	492.7614685	28.979124	170.5746	-1.2912784	0.166841745	-0.31024706	-0.95065594	100	3	139	1776	1.8	112.5631	14.658673	2	2	1	3	5.57215403217776
381	1	210335.0862	6861672.92	480.3203735	31.805223	170.5746	1.00051	0.484728694	-0.31291693	-0.94978046	100	3	138	2229	1.8	112.5631	14.658673	3	2	1	1	6.24610676548156
382	1	210306.7142	6861734.837	498.1075891	26.65595	170.5746	0.5434004	-2.548245192	-0.5089294	-0.86080825	39	3	102	457	1.8	112.5631	14.658673	3	2	1	1	5.79909265446053
384	1	210171.6614	6861615.973	397.0075085	31.167784	170.5746	0.16150917	-0.150336534	-0.32463822	-0.9458383	100	3	208	1153	1.8	112.5631	14.658673	3	3	0	1	4.18965474202643
388	1	208833.1338	6862851.622	580.3135547	23.994925	171.717	8.5875225	-4.778522015	-0.72274834	-0.6911113	100	1	155	2090	2.1	111.88049	14.889573	2	3	1	1	3.97029191355212
389	1	208838.1113	6862846.586	580.4163794	23.294355	171.717	8.942146	-2.891359329	-0.68960446	-0.7241862	65	2	132	892	2.1	111.88049	14.889573	2	3	1	1	3.95124371858143
393	1	211064.4121	6860583.104	362.4553345	34.585026	170.92177	1.0056152	-0.71582514	-0.06670984	0.9977724	96	1	142	1461	1.7333333	115.733	14.834531	2	2	0	3	4.30406509320417
394	1	210913.1444	6860545.125	399.0181128	33.23177	173.47986	0.6326843	-2.300411463	0.0936042	0.99560946	50	1	132	181	1.8571428	117.629	15.641297	2	2	0	3	5.71702770140622
395	1	209156.6796	6860377.514	622.9593311	33.898766	175.88203	-0.32459205	-0.758068621	0.94486487	0.32746044	87	1	215	1007	1.7333333	121.3679	15.307013	3	3	1	1	3.46573590279973
396	1	205761.074	6863528.563	410.7637329	20.42216	174.92174	-6.210091	-0.011345813	0.41121498	-0.9115384	98	2	167	1405	1.7857143	111.4911	13.981999	3	2	0	1	5.99146454710798
397	1	202986.2541	6864672.461	429.9170007	31.923206	180.8425	-1.5122249	-0.709842145	-0.72296137	-0.69088846	100	3	208	888	2	109.3063	11.303511	2	2	0	1	6.30078579466324
398	1	202891.7394	6864691.34	393.5948157	25.836634	180.8425	-5.6566186	3.705036402	-0.69839853	-0.7157091	0	2	0	0	2	109.3063	11.303511	2	2	0	1	3.89182029811063
399	1	202882.0841	6864703.257	393.1221375	28.94253	180.8425	-3.7389548	0.916064739	-0.77022576	-0.63777137	0	2	0	0	2	109.3063	11.303511	2	2	0	1	2.89037175789616
400	1	202876.5838	6864719.5	394.988916	27.470846	180.8425	-3.583697	0.30402264	-0.94542116	-0.32585084	0	2	0	0	2	109.3063	11.303511	2	2	0	1	3.63758615972639
