ID	landslide	x	y	elevation	slope	relprecip	profcurv	plancurv	aspect_sin	aspect_cos	groundwater	precip	max_precip_3h	deposit_thickness	bedrock2	landforms2	deposit2	LogFlow
507	1	193639.0201	6858674.342	613.2859229	36.16474	201.06546	0.12105101	-0.140491962	0.9768433	-0.21395598	1.6842105	141.3771	11.141867	3	2	0	1	2.56494935746154
508	1	193608.137	6858653.776	616.5305615	42.311737	201.06546	-0.31828082	3.918047428	0.1408082	-0.9900369	1.6842105	141.3771	11.141867	3	2	0	1	4.12713438504509
509	1	193551.9762	6858584.843	605.1158398	32.0739	201.06546	3.7365243	-12.02041912	0.58698446	-0.8095982	1.6842105	141.3771	11.141867	3	2	0	1	5.18738580584075
510	1	193569.4273	6858596.644	619.6418213	45.009686	201.06546	-0.41611493	6.822820663	-0.43102163	-0.9023416	1.6842105	141.3771	11.141867	3	2	0	1	2.70805020110221
511	1	193221.8996	6858634.389	631.6983813	46.20613	201.06546	-0.13970014	6.885514736	0.24979265	-0.9682993	1.6842105	141.3771	11.141867	3	2	1	1	3.55534806148941
512	1	193148.5424	6858640.841	642.234751	33.46607	201.06546	0.5635664	-0.809392631	0.63481116	-0.7726673	1.6842105	141.3771	11.141867	3	2	1	1	6.92853781816467
513	1	193088.6667	6858643.313	651.0750098	28.49501	201.06546	1.4250509	-8.115691185	0.3051298	-0.9523108	1.6842105	141.3771	11.141867	3	2	1	1	7.47873482556787
514	1	192847.0371	6858313.456	590.3370825	31.72975	201.17726	2.5569801	-2.853586197	0.99652076	0.0833449	1.5862069	140.4308	11.4910145	3	4	0	1	5.63121178182137
515	1	228068.257	6847688.471	1135.253613	27.353767	95.40479	-0.722313	-17.33106232	-0.07892697	-0.9968804	1.2931035	90.1209	13.475597	2	2	1	1	10.4632461874113
516	1	259639.6981	6859247.113	659.1113477	21.043268	143.7674	4.208534	0.634617984	0.19633721	-0.98053646	1.4848485	116.944405	13.586455	3	5	1	1	2.19722457733622
517	1	259625.486	6859246.798	660.0165942	20.386797	143.7674	4.3077602	-0.514290571	0.3110616	-0.95038974	1.4848485	116.944405	13.586455	3	5	1	1	2.19722457733622
518	1	259681.7825	6859249.162	654.5389624	25.17478	143.7674	5.8864417	-1.236605167	0.1765928	-0.984284	1.4848485	116.944405	13.586455	3	5	1	1	2.56494935746154
519	1	258565.5607	6858688.928	674.2479956	24.795694	139.47926	0.48209414	-0.720982015	0.38080955	-0.92465353	1.4333333	114.548096	13.339268	2	5	1	1	5.14749447681345
520	1	258514.9503	6858704.13	689.7461816	21.64223	139.47926	-0.8747957	-0.413477302	0.3634435	-0.93161625	1.4333333	114.548096	13.339268	2	5	1	1	8.5131851700187
521	1	258181.2062	6858306.769	612.4251343	25.479237	139.47926	3.135379	0.431677848	0.17937483	-0.9837808	1.4333333	114.548096	12.842064	2	5	0	1	9.3476645628394
522	1	258119.264	6858352.709	650.5891528	30.491285	139.47926	1.2548271	-0.740065396	0.5113824	-0.85935324	1.4333333	114.548096	12.842064	2	5	0	1	4.46590811865458
523	1	258030.7957	6858249.767	619.323291	31.12601	139.47926	-7.1139216	2.644633055	0.46764037	-0.8839188	1.4333333	114.548096	12.842064	2	5	0	1	7.41637847919293
524	1	257790.944	6858151.445	652.4409375	23.77656	136.26646	-8.26848	0.239449039	0.63668114	-0.77112716	1.5	113.0606	12.842064	2	5	0	1	4.85203026391962
525	1	232150.7715	6867121.647	1265.455254	35.22503	108.82222	-1.357222	-0.80161649	0.5588074	-0.8292975	1.3035715	120.0087	16.458775	2	4	1	1	4.44265125649032
526	1	232321.4443	6867370.353	1281.330112	23.158869	108.82222	5.033029	-1.619685531	0.82948184	-0.55853367	1.3035715	120.0087	16.458775	2	4	0	1	5.03043792139244
527	1	233946.9347	6868763.218	1100.374717	44.845222	108.94133	3.5664468	-3.054862022	0.7020451	-0.7121325	1.3333334	122.6007	18.824911	3	4	0	1	4.00733318523247
528	1	234263.8603	6868982.676	1113.635259	26.251822	108.43376	0.17260315	-5.600814819	0.23956358	-0.9708807	1.3396226	123.122696	18.855146	3	4	1	1	3.09104245335832
529	1	234956.378	6869121.313	1058.704092	32.867073	109.281845	1.2901472	-4.705634117	0.49508783	-0.86884296	1.3214285	125.9814	18.855146	3	4	1	1	4.91265488573605
530	1	235122.0473	6869119.019	1025.588625	36.113503	108.9551	-2.2109437	2.608948708	0.27246535	-0.9621656	1.3584906	123.9515	18.855146	3	4	0	1	6.37842618365159
531	1	235391.61	6869173.862	997.3278271	34.10247	108.9551	-0.20468651	0.087911144	0.73729855	-0.67556703	1.3584906	123.9515	18.78371	3	4	0	1	4.39444915467244
532	1	228423.6924	6889840.339	951.8975098	35.743595	105.25268	0.8105298	0.160256401	-0.46718207	0.8841611	1.3846154	74.9103	11.916813	3	4	0	2	4.02535169073515
533	1	240653.4261	6907712.6	1260.066782	22.363422	101.38016	1.7351978	-3.43722415	-0.53330696	0.8459218	1.2903225	107.3397	14.90244	3	2	1	1	5.4971682252932
534	1	240935.576	6907742.07	1263.973545	21.667652	101.38016	0.04136697	-0.082832254	0.046314236	0.99892694	1.2903225	107.3397	14.90244	2	2	1	1	5.34233425196481
535	1	241059.0082	6907839.3	1223.291689	23.60617	101.86042	-0.77097696	0.478886306	-0.026681896	0.999644	1.3275862	106.6228	14.90244	2	2	1	1	5.4553211153577
536	1	207554.1286	6965167.648	722.2047998	24.902838	95.772865	2.5263412	-1.847936273	-0.003693874	0.9999932	1.3913044	84.8266	6.637537	3	4	0	1	3.49650756146648
537	1	207768.2858	6964935.597	801.2068457	28.791935	97.25437	1.299365	-0.429375142	0.43600208	0.8999457	1.1136364	83.8888	6.637537	2	4	1	1	5.4553211153577
538	1	210452.6652	6957656.893	1181.989087	30.921953	105.898674	-0.17115921	0.12733689	-0.19187766	0.98141885	1.0555556	86.7261	5.2279935	1	4	1	5	6.20859002609663
539	1	191655.4079	6943125.848	1139.353726	38.398342	110.24484	1.9659293	0.686163604	-0.21564955	0.9764708	1.1058824	86.2483	9.062193	1	4	1	5	4.82028156560504
540	1	199913.8797	6950187.589	729.4658374	22.435	112.20175	-0.63102293	-0.63494873	0.10600057	0.99436605	1.3148148	75.2461	6.3596535	2	4	0	5	4.86753445045558
541	1	222828.954	6943616.214	590.8525708	24.861242	107.996445	0.252781	0.95963645	-0.9853408	0.17059779	1.2439024	84.1915	10.688687	3	5	0	1	4.12713438504509
542	1	222041.9968	6922221.736	1138.175234	32.531437	119.944885	-0.14298692	4.620548248	-0.9977674	0.06678472	1.1690141	95.6223	10.818465	1	2	1	5	5.04342511691925
543	1	204525.7159	6914718.389	1378.074546	25.241426	132.2563	-0.4279176	-0.662605107	-0.8499907	0.52679765	1.238806	107.652	10.476087	3	4	1	1	6.29156913955832
544	1	204120.3626	6914348.154	1371.270264	41.040287	132.2563	5.982546	-10.047122	-0.78552866	0.61882526	1.238806	107.652	9.883419	2	4	1	1	5.33753807970132
545	1	203878.6233	6914073.781	1376.68502	28.645279	133.3219	3.1008039	-3.550817251	-0.98892754	-0.14839898	1.295082	111.3351	9.797639	3	4	1	1	6.90775527898214
546	1	170812.5942	6899937.076	1114.762896	21.442917	227.67513	-0.16707411	-0.261351466	0.22658469	0.97399145	1.2096775	132.9023	13.906824	3	4	1	1	5.63478960316925
547	1	171302.2461	6900395.633	967.7861694	27.219727	224.86917	3.2868989	0.115639031	0.8049551	0.5933356	1.4545455	115.7203	13.997036	3	4	1	1	3.63758615972639
548	1	158837.9514	6895544.202	1398.967085	25.342089	233.32393	3.991152	0.660566211	-0.56600237	0.8244036	1.0405406	130.68	13.296806	3	4	1	1	5.79301360838414
549	1	160874.2032	6896707.064	1328.939497	22.865492	234.81865	1.7629194	1.248095155	-0.08705817	0.99620324	1.0266666	134.4349	13.207729	3	4	1	1	2.19722457733622
550	1	151642.2403	6897057.071	1140.31498	20.158611	213.67633	-0.7777155	1.193964124	-0.21917425	0.9756857	1.1896552	117.5206	9.484361	3	4	1	1	4.80402104473326
551	1	150506.1952	6896772.038	1261.280469	23.907894	210.54012	-0.9719958	0.536207318	0.017403336	0.99984854	1.0704225	118.4107	9.275543	1	4	1	5	5.73657229747919
552	1	168782.2995	6852992.135	1316.925098	20.554096	177.83047	1.5187281	-4.408166409	0.67238075	0.74020547	1.1384616	154.468	12.823418	1	4	0	5	5.63121178182137
